asset_id,symbol,asset_class,timestamp,close,return_1d,return_5d,return_20d,volatility_20d,sma_20,sma_50,ema_20,atr_14,rsi_14,relative_volume_20d,distance_from_20d_high,trend_strength,liquidity_score,data_quality_score,market_quality_score,regime,warnings
stock:ABBV,ABBV,stock,2026-07-24,259.3599853515625,0.0094970099498084,0.019136232281346865,0.06671047956992227,0.2914440243084247,252.82000122070312,233.295,249.56149412971357,5.657497950962612,56.82086708150197,0.3440247899974299,-0.0065500514217728956,0.0836923261137321,100.0,100.0,97.99984900274694,bull,
crypto:whitebit,WBT,crypto,2026-07-26,56.275352478027344,0.002930354270129776,-0.028139542130390383,-0.020022313517879864,0.24287707036590525,56.23230819702148,53.63022705078125,55.96906276932227,1.2507237025669642,52.05459364676047,0.3024002100357157,-0.028139542130390383,0.04851892839790476,100.0,100.0,96.00536469920358,sideways,
crypto:ethereum,ETH,crypto,2026-07-26,1883.97998046875,0.00574281424876899,-0.023026437395710198,0.04806826475900272,0.3353431837592455,1846.1186645507812,1747.8989477539062,1845.572700139821,58.97633579799107,58.85917825073592,0.41098587806258763,-0.025606612374615256,0.056193017864728266,100.0,100.0,95.11429164436876,bull,
crypto:bitcoin-cash,BCH,crypto,2026-07-26,210.5399932861328,0.0044080412922566925,-0.05882289945963626,-0.1292349924377333,0.32056662614502185,226.03169860839844,215.34972869873047,220.1217110836287,7.4188690185546875,20.67802785614269,0.5382224831310557,-0.14157324859111542,0.049602894669125916,100.0,100.0,94.89709285996528,sideways,
crypto:solana,SOL,crypto,2026-07-26,74.80000305175781,0.00499051765767855,-0.04235898725230525,-0.0868602578089942,0.2895605930970778,76.65042610168457,73.93085136413575,76.09580897037284,2.0592798505510603,43.482655868923274,0.4763558311786828,-0.07252071203402355,0.03678538373856879,100.0,100.0,94.51714265982245,sideways,
crypto:litecoin,LTC,crypto,2026-07-26,47.16999816894531,0.014261453751575726,0.007563572172859967,0.052308408207768275,0.2689928757148199,45.55182933807373,44.3242610168457,45.86490470265828,1.3840413774762834,70.8317978232344,0.7778405178463113,-0.0035404189095471494,0.027695178510962253,100.0,100.0,94.22102196866929,bull,
crypto:okb,OKB,crypto,2026-07-26,84.47980499267578,0.015606380902345673,0.02719708297745793,0.05586776604171484,0.16816006891997567,81.12816123962402,78.2718862915039,81.38374491130865,1.7727813720703125,67.66641663355999,1.0015087566239245,0.0,0.03649170964760758,100.0,100.0,93.70237951582011,bull,
crypto:bitcoin,BTC,crypto,2026-07-26,64411.30859375,0.0015470889387545483,-0.03148353463360909,0.00650508425827101,0.24841291974179008,64261.08203125,63245.828125,64288.9975600024,1490.5228794642858,52.9552109430706,0.44752248837878744,-0.03148353463360909,0.0160525039571533,100.0,100.0,93.67418004194505,recovery,
stock:AAPL,AAPL,stock,2026-07-24,333.0199890136719,0.035316748188238156,-0.002157371731800861,0.2103216296597814,0.2968769565123889,314.38549957275393,306.23140014648436,317.73740039500115,7.848573957170759,67.69819197013604,0.7367299820830645,-0.002157371731800861,0.02662724796467342,100.0,100.0,93.61810066274322,strong_bull,
crypto:chainlink,LINK,crypto,2026-07-26,8.439000129699707,0.007893153632600125,-0.02415889446919206,0.05281083823960708,0.3358634098320981,8.230649399757386,7.956471385955811,8.272264788639289,0.24286729948861258,61.95231487218875,0.6512441201144122,-0.02415889446919206,0.0344597498692114,100.0,100.0,93.47454230583901,bull,
stock:AAL,AAL,stock,2026-07-24,14.475000381469727,0.06747787120488091,-0.03371156049389379,-0.17615249670529132,0.5183159941072751,16.342250108718872,15.15250005722046,15.56678530523104,0.757857186453683,25.86587610298055,0.4951228173022417,-0.20247930106337575,0.07851839940640513,100.0,100.0,93.35795506596898,volatile,
stock:ADP,ADP,stock,2026-07-24,250.08999633789062,0.029685405591773018,-0.02029227033287262,0.15616475965308352,0.36267611159962004,242.7235008239746,230.5206005859375,242.64642680570228,7.227143423897879,59.49479787842117,0.644988771821741,-0.025218277526781963,0.0529362677653093,95.91032760142092,100.0,92.7216740304737,strong_bull,
stock:ABT,ABT,stock,2026-07-24,103.05999755859375,0.022928015469913188,0.023639225727094315,0.10531960445957922,0.44953431517220166,95.78449974060058,91.28119995117187,96.40790212832833,3.0578575134277344,64.7596316915943,0.7720234495783425,0.0,0.04933436229845372,100.0,100.0,92.45880876290525,strong_bull,
crypto:monero,XMR,crypto,2026-07-26,362.40130615234375,-0.0042168625194478615,0.014490307118444345,0.12062376585660473,0.3522621341736353,337.52319793701173,329.7945263671875,342.5568027087062,12.02836172921317,77.82926939760637,0.695593326060997,-0.0042168625194478615,0.02343480850018502,100.0,100.0,92.34019562175821,strong_bull,
stock:ABNB,ABNB,stock,2026-07-24,141.10000610351562,0.025659653931525472,-0.03342916678208141,-0.005497594815711548,0.31682622202425975,145.48850021362304,139.35980041503908,143.4485789968124,4.132859366280692,39.553450529896026,0.6859018753824556,-0.052574947675659955,0.043977529964391256,93.99522886160234,100.0,92.14341462901541,sideways,
crypto:ripple,XRP,crypto,2026-07-26,1.0959999561309814,-0.0012102047418732775,-0.04067757136605499,-0.0417888803739247,0.2873542716061918,1.1011015951633454,1.114025375843048,1.1052458143045263,0.030386626720428467,52.44945111853449,0.5277612413252937,-0.04067757136605499,-0.011600975130321874,100.0,100.0,90.92953427260976,bear,
stock:A,A,stock,2026-07-24,138.57000732421875,-0.008372678710124593,0.05408489462370891,0.02258145481091023,0.29466316793002656,133.54200134277343,128.97239990234374,133.50225093086453,4.201069423130581,64.43318625348725,0.4798471665505286,-0.008372678710124593,0.0354308475603287,89.74352673487964,100.0,90.21728986228851,bull,
crypto:zcash,ZEC,crypto,2026-07-26,490.4800109863281,0.01142544790775224,-0.07813890394537226,0.08421487923878535,0.7728123781629009,516.6548324584961,470.26863464355466,505.40107383208056,31.630120413643972,42.127122777832604,0.5338698466917325,-0.13992447498200333,0.09863766026007749,100.0,100.0,90.09509242895143,volatile,
crypto:binancecoin,BNB,crypto,2026-07-26,569.8800048828125,0.0024825549035236705,-0.006479913247882885,-0.02656753835043324,0.1566218070318661,571.564892578125,578.0665393066406,571.3075415432724,10.18231201171875,46.43516116783169,0.7386165287854853,-0.020413503247395326,-0.011247228971796265,100.0,100.0,89.90561670896277,bear,
crypto:pax-gold,PAXG,crypto,2026-07-26,4055.010009765625,0.0007366952311049779,-0.004179917330963567,-0.02347363159310123,0.1711504146088147,4051.3639282226563,4113.470258789062,4059.9509699408877,55.723214285714285,47.98128048026803,0.25264301773605835,-0.01659779609431855,-0.015098281173592139,100.0,100.0,89.88919918589586,sideways,
crypto:tether-gold,XAUT,crypto,2026-07-26,4051.22412109375,-0.00020111884255802348,-0.005868520833919977,-0.023804288038027033,0.1667684082004648,4051.1787231445314,4109.388046875,4059.5551081664375,54.057564871651785,47.701178837121624,0.7498643518799339,-0.01750604311014392,-0.014164961562764655,100.0,100.0,89.87703553655138,sideways,
stock:ACGL,ACGL,stock,2026-07-24,103.36000061035156,0.03256745440483977,0.01983228580653318,0.095727749432992,0.2895911535030885,100.59149932861328,95.62859985351562,99.7123789556611,2.353570120675223,53.767628828048274,1.368719793535922,0.0,0.051897648639631366,85.25876616379537,100.0,89.75349598530758,strong_bull,
crypto:avalanche-2,AVAX,crypto,2026-07-25,6.765277862548828,0.0743929048559282,0.028749528145307623,-0.021972269369481046,0.4636362541205154,6.574107527732849,6.574932527542114,6.569559506078849,0.25104192325047087,55.6453137922471,1.4634992874408672,-0.022709352347811462,-0.00012547654379865117,100.0,100.0,88.48490949445544,sideways,
stock:ACHC,ACHC,stock,2026-07-24,34.5099983215332,0.014701559090740446,0.00028980642125220335,0.315167630432591,0.46305467742346923,32.00549993515015,27.631599884033204,31.950646602631746,1.5400005068097795,65.8333203822043,0.6284557770989957,-0.030890263127336115,0.15829340571931136,80.66102128576543,100.0,88.26963331261612,strong_bull,
crypto:tether,USDT,crypto,2026-07-26,0.9991599917411804,9.509872279545029e-05,-0.00019712010214700815,-0.00018710195356630432,0.00390727906889311,0.9992470443248749,0.9990894973278046,0.9991925514104993,0.0011262425354548863,45.72896017300414,0.6014599061236315,-0.0003761606461185618,0.00015769057475996707,100.0,100.0,87.89758827564873,sideways,
stock:ACIW,ACIW,stock,2026-07-24,56.310001373291016,0.03264263036569037,-0.030308219920484603,0.20681529270116616,0.38460584503506967,55.057499694824216,48.065199813842774,54.23663825336054,1.9139289855957031,51.59396394663649,0.4158142180584942,-0.040224933855605105,0.14547531078748704,76.01097300028606,100.0,87.88052960570687,strong_bull,
stock:ACAD,ACAD,stock,2026-07-24,24.84000015258789,0.0004027478418269226,-0.02968750849831836,0.04721757469035137,0.3246866260404014,25.54399995803833,23.16840003967285,24.946197468440257,0.7671429770333427,38.84892250862423,0.545567715534234,-0.05944716788697979,0.10253620941875904,73.12753007193828,100.0,87.8506377905178,sideways,
crypto:usd-coin,USDC,crypto,2026-07-26,0.9999855160713196,3.6539511550692794e-05,-8.463910511458117e-06,0.00011755587972839265,0.0014197095634638614,0.9998734146356583,0.9997925221920013,0.9998911989052772,0.0011160501411982945,61.273945711771475,0.5290308171080645,-6.144950257491733e-05,8.090923052674013e-05,100.0,100.0,87.84518774660445,sideways,
stock:ADM,ADM,stock,2026-07-24,85.91999816894531,-0.004979737264322659,0.0002327897870919582,0.12255026314632689,0.19732268479189918,81.31250038146973,80.15400039672852,82.59567761092048,1.8664289202008928,78.80315890975038,0.518284904434161,-0.016032999665274716,0.01445342689082423,87.9354623601013,100.0,87.77049230070045,strong_bull,
stock:ACA,ACA,stock,2026-07-24,145.0,-0.0007580498235054689,-6.892288266013846e-05,0.00027589186175847047,0.0415043029005851,144.95050048828125,134.8967999267578,143.36193335954403,0.6146414620535714,44.2423822074259,0.5186409694753927,-0.002613873091549368,0.074528829201153,82.09896281234253,100.0,87.01995299440946,recovery,
stock:ADI,ADI,stock,2026-07-24,371.8599853515625,-0.021935893181737498,-0.00932438229056809,-0.11023379066253958,0.41317292081555645,385.2110000610352,403.27840209960937,387.4268478333736,13.946428571428571,40.800173913446294,0.8807629892305087,-0.06372592899885954,-0.04480131329748613,100.0,100.0,86.08040923739686,strong_bear,
stock:ADBE,ADBE,stock,2026-07-24,225.11000061035156,0.060988841745205136,-0.05116964969293336,0.16390050332465034,0.4715253721095162,220.88849945068358,227.9886004638672,222.55933345472414,10.507858276367188,54.509348502728535,0.7871664204445039,-0.05116964969293336,-0.031142350971661254,100.0,100.0,86.01072295007198,recovery,
crypto:the-open-network,GRAM,crypto,2026-07-26,1.510201096534729,0.0023915475706308698,-0.02255453169979349,-0.15236816644742912,0.5270789343776922,1.5420987546443938,1.4408920608193148,1.5159942272470819,0.06904866865703038,38.60220642839724,0.45870435743767957,-0.08199091359421729,0.07023891419564857,82.90258466317198,100.0,85.7337224103607,volatile,
stock:ADC,ADC,stock,2026-07-24,80.62999725341797,0.010274398194564549,-0.006040501437047929,0.061200232838105606,0.1985987130342597,78.53449935913086,76.0968002319336,78.64345273386739,1.3792860848563058,68.9277387915369,1.7723427661027236,-0.006040501437047929,0.032034186979839605,78.76646984803963,100.0,85.4453778320962,bull,
stock:ADSK,ADSK,stock,2026-07-24,209.75,0.021874722855527162,-0.03938633324076268,0.10551839310221967,0.3687571360767559,207.3069984436035,216.11460021972655,208.98259977562716,7.845001220703125,51.923415564267856,1.1810289095154602,-0.03938633324076268,-0.04075431168078531,93.98093587556616,100.0,84.8091046727284,recovery,
stock:ABG,ABG,stock,2026-07-24,225.24000549316406,0.013955190924791472,0.022145602057069835,0.10928343810834606,0.3729589031798983,212.11149978637695,200.22680053710937,213.4261468905065,7.829078674316406,63.652167409903846,0.3501251206872771,-0.0062648819641870634,0.05935618617181526,74.43666450068639,100.0,84.42090032853761,strong_bull,
crypto:tron,TRX,crypto,2026-07-26,0.3324664533138275,0.0035844218887233215,0.009128424640495902,0.009140748145015642,0.12077664443174298,0.3281543731689453,0.3246644687652588,0.3279403217296505,0.003370163696152823,52.36918030795396,0.8814604599278457,0.0,0.010749264977960407,82.99524466599263,100.0,84.08135482283926,recovery,
stock:ADPT,ADPT,stock,2026-07-24,22.270000457763672,-0.0017928735605651225,-0.02835949460587328,0.0997531090253665,0.6005757273804269,21.70250005722046,18.217200031280516,21.285253286476507,1.2935714721679688,53.8232426240289,0.8793464345576687,-0.02835949460587328,0.1913191939461267,76.18252513237495,100.0,83.89971516456697,strong_bull,
stock:ABCB,ABCB,stock,2026-07-24,87.7300033569336,-0.016038585087939983,-0.04961536477945416,-0.029857314377202848,0.20701418632078022,90.34750061035156,87.5313996887207,89.76107740016214,2.007500784737723,39.26594074754277,1.6766025027744824,-0.05838783856308949,0.03217246532839056,73.74278020980205,100.0,83.60406297706474,sideways,
stock:ABM,ABM,stock,2026-07-24,47.720001220703125,0.008027060982053191,0.0029423998373421245,0.06446574328815835,0.22016880358548535,45.77200012207031,43.350400085449216,45.964308549519195,1.0803571428571428,72.49323123586933,0.5557765495610931,-0.009341851055587047,0.05586107698770503,67.48862790670682,100.0,83.12569700398846,bull,
stock:ACM,ACM,stock,2026-07-24,70.55999755859375,0.0430154614497924,0.03324054199200144,0.005987997898490027,0.3143705801253552,68.67700004577637,69.865,68.91122066046545,1.8728561401367188,53.92237034423668,0.8136090211954653,-0.006477036133703651,-0.01700422177375836,80.98615709042403,100.0,82.41219782578733,recovery,
crypto:near,NEAR,crypto,2026-07-26,1.7890000343322754,-0.0013725851747092843,-0.07598793402132131,-0.12748984712371803,0.42701702682066023,1.9108933925628662,1.986994173526764,1.9021013733767465,0.08607967410768781,41.86888128893944,0.40564027944203096,-0.13367708651914623,-0.03829944847237509,90.12826336895739,100.0,82.35977745926746,strong_bear,
stock:ACVA,ACVA,stock,2026-07-24,7.730000019073486,0.021136042771977115,0.03758392174186764,0.1765600939274825,0.5078553844460223,7.305499958992004,6.5821999740600585,7.25985019419126,0.3760714530944824,55.03356102044448,0.9825463674541544,-0.025220657452023842,0.10988726987670004,67.85676095158165,100.0,82.30791592226974,strong_bull,
stock:ADT,ADT,stock,2026-07-24,7.039999961853027,0.03225803294049734,0.005714280264718097,0.11746027757371325,0.288652947269768,6.783999991416931,6.76379997253418,6.827377886883242,0.17714285850524902,60.283687703416724,0.5487962940545077,-0.002832858511134684,0.002986489689934319,74.54435548523739,100.0,81.81698615953188,strong_bull,
stock:ADMA,ADMA,stock,2026-07-24,8.270000457763672,-0.011947363101873054,-0.05051659913389728,-0.05160548113359942,0.31591907263010977,8.76650004386902,8.47480001449585,8.65464453305934,0.26228584562029156,21.2903634665482,0.7468798472347137,-0.10787485982942913,0.03441969472721794,68.39741012093585,100.0,81.20445854110113,sideways,
crypto:ripple-usd,RLUSD,crypto,2026-07-26,1.0000495910644531,-7.235121544679757e-05,8.356855118707429e-05,-1.4423400716001566e-05,0.003010963305283146,1.0000052332878113,0.9999480152130127,1.0000274711020725,0.0014133155345916748,53.125917229233934,0.46356571816116315,-0.00018139463152933022,5.7221049422702706e-05,82.46967045159003,100.0,80.86111532131677,sideways,
stock:ACT,ACT,stock,2026-07-24,46.7599983215332,0.017185057208010113,0.005159025395699013,0.04749101614854356,0.2018332510296566,45.62149982452392,43.76179992675781,45.39958251231713,1.0627144404820033,57.81021849031512,1.2327411831078943,0.0,0.04249596453707596,64.55779113801637,100.0,80.6071872522933,bull,
stock:ACN,ACN,stock,2026-07-24,146.99000549316406,0.05946374278042321,0.023821118579607337,0.16825628556419958,0.48848097172073013,137.34550132751465,154.8820007324219,141.74144631722618,6.750355311802456,60.11700975614862,0.478112704705619,0.0,-0.1132249023255048,100.0,100.0,80.5284817802363,sideways,
stock:AAMI,AAMI,stock,2026-07-24,80.87999725341797,0.008101631176464341,-0.023070463111338757,0.15923751103484762,0.4188030898796782,78.74549942016601,75.88959976196288,79.64474791263648,2.6376429966517856,54.19291468165475,0.39459743646362366,-0.03656938423377154,0.03763229305676945,70.8345648279007,100.0,80.49118997517402,strong_bull,
stock:ACRS,ACRS,stock,2026-07-24,5.230000019073486,-0.04562043779741953,-0.079225320926948,0.06517315307658067,0.4875328642235911,5.46399998664856,4.906600036621094,5.371645127820903,0.30949997901916504,43.92523635203346,0.3602751341800215,-0.08406305006422687,0.11360207595223444,60.9934639727833,100.0,79.94364438492099,sideways,
stock:AAT,AAT,stock,2026-07-24,24.299999237060547,0.0024752255160445102,-0.047432417913166214,-0.010989029756502178,0.22954610660066832,25.06500005722046,23.95640007019043,24.81555113110999,0.5035715103149414,34.306567818732375,1.0210469168223828,-0.05996135866675967,0.0462757335735718,59.88919063330029,100.0,79.54284577010054,sideways,
stock:ACHV,ACHV,stock,2026-07-24,6.099999904632568,-0.011345246482301952,-0.027113249890125868,0.07017545767584887,0.5488738789939037,6.277999997138977,5.631400012969971,6.120932009137808,0.3978571891784668,42.91498382132551,0.3861149977532014,-0.06584996804899057,0.11482046785520258,62.739950192270996,100.0,79.49209484577271,volatile,
crypto:cardano,ADA,crypto,2026-07-26,0.16439999639987946,-0.0014334932187841654,-0.051618700877068324,-0.10667708594969239,0.4172189999424227,0.16641714945435523,0.16470115929841994,0.16680879688411882,0.007002466491290501,52.80142147188694,0.45509241545341783,-0.05784188200420037,0.010418810427594577,73.27556907773621,100.0,79.45628216424365,sideways,
