asset_id,symbol,asset_class,timestamp,atr_14,atr_20,atr_50,atr_7,atr_pct_14,atr_pct_20,atr_pct_50,atr_pct_7,average_dollar_volume_10d,average_dollar_volume_20d,average_dollar_volume_5d,average_dollar_volume_60d,bar_count,bollinger_width_20,bollinger_width_50,bollinger_z_20,bollinger_z_50,distance_from_high_14,distance_from_high_20,distance_from_high_252,distance_from_high_60,distance_from_low_14,distance_from_low_20,distance_from_low_252,distance_from_low_60,ema_10,ema_100,ema_20,ema_200,ema_5,ema_50,gap_ratio_60,macd_12_26,money_flow_ratio_20,on_balance_volume,price_to_sma_100,price_to_sma_20,price_to_sma_200,price_to_sma_50,relative_volume_10d,relative_volume_20d,relative_volume_5d,relative_volume_60d,return_10d,return_120d,return_1d,return_20d,return_252d,return_5d,return_60d,rsi_14,rsi_21,rsi_28,rsi_7,sma_10,sma_100,sma_20,sma_200,sma_5,sma_50,stochastic_14,stochastic_20,stochastic_252,stochastic_60,trend_persistence_20,trend_persistence_60,volatility_10d,volatility_120d,volatility_20d,volatility_5d,volatility_60d,zero_volume_ratio_60
stock:ABBV,ABBV,stock,2026-07-24,5.657497950962612,6.222250366210938,6.012500610351562,5.700709751674107,0.02181330301701657,0.023990787776212573,0.023182067203626717,0.021979912375252465,1285715920.473578,2153082808.7485228,1113166151.6981933,1602924395.5706186,500.0,0.06819449160134243,0.3010072404367179,1.5173157320101973,1.4846876747405242,0.0,-0.0065500514217728956,-0.0065500514217728956,-0.0065500514217728956,0.06247177380312641,0.06247177380312641,0.37576904028030467,0.286826997888753,253.9384473613582,229.13415620223762,249.56149412971357,222.11878506957837,256.1123808494771,237.66277902407202,0.006455752200001005,6.410737626152979,0.5981519938858827,42389954.0,0.16696671298725252,0.025868143735788607,0.1578146951619055,0.11172543497101306,0.5680336656219057,0.3440247899974299,0.596084765625,0.43798333284699675,0.04546913671900743,0.16299713797630866,0.0094970099498084,0.06671047956992227,0.3611124702061237,0.019136232281346865,0.31195296751758983,56.82086708150197,66.8271102340905,65.19065864882845,83.05156043825215,252.48300170898438,222.2513996887207,252.82000122070312,224.0081996154785,255.81200256347657,233.295,91.05641407050949,87.72197954977962,96.91971265163959,96.78370880838116,0.4,0.5166666666666667,0.24971504013331755,0.2762701782047658,0.2914440243084247,0.17259117466494373,0.28927582517889594,0.0
crypto:whitebit,WBT,crypto,2026-07-26,1.2507237025669642,1.2516582489013672,1.713832473754883,1.127326420375279,0.02222507096788613,0.022241677640136966,0.030454406739150095,0.02003232979865284,3637042483.984694,4462711499.578015,3014089658.8273783,7747171285.07245,731.0,0.053237698502327124,0.2528519647219266,0.05751356207851787,0.7802437410061306,-0.028139542130390383,-0.028139542130390383,-0.10585951063959131,-0.028139542130390383,0.030608535129528214,0.030608535129528214,0.29796856174072706,0.29796856174072706,56.417275829002556,54.29508833753351,55.96906276932227,53.270661603930115,56.38904481802296,54.79004469111175,1.0283421490138908e-06,0.7293965924994126,0.43871268453938883,-4569771543.0,0.030764509592196676,0.0007654724194328111,0.04603581599242346,0.049321540718846535,0.36157195252430074,0.3024002100357157,0.4055844868915509,0.16606004675212394,0.008809429147295322,0.09733754289750607,0.002930354270129776,-0.020022313517879864,0.07289194466640425,-0.028139542130390383,0.030235353034440138,52.05459364676047,46.18724022801809,69.15449668578518,49.17311136907004,56.57054557800293,54.595741271972656,56.23230819702148,53.79868606567383,56.50992889404297,53.63022705078125,51.14463603360806,51.14463603360806,60.54206827935661,87.6377127904399,0.5,0.48333333333333334,0.1760974193828807,0.3854441841130745,0.24287707036590525,0.14750494229705574,0.47569765520444446,0.0
crypto:ethereum,ETH,crypto,2026-07-26,58.97633579799107,57.4533203125,69.81373291015625,48.834298270089285,0.03130412021857964,0.030495716997059136,0.03705651526763358,0.02592081591967814,16054627258077.25,17072532124405.031,14378941890174.828,21839770563166.855,731.0,0.13057400320517518,0.24254078385560227,0.6282599326610057,1.2839747702910236,-0.025606612374615256,-0.025606612374615256,-0.4384096172722922,-0.06708644328415647,0.062294447375843776,0.08108348162985268,0.20396212552981985,0.20396212552981985,1875.5286205340801,1931.8108713638733,1845.572700139821,2181.245323790687,1881.7508366567422,1833.27020740624,5.079491082759883e-05,37.71514363836809,0.5488697872600211,-527686827778.0,-0.039039092440539824,0.02050860361524043,-0.11944680716426292,0.07785406180930043,0.43932241596724336,0.41098587806258763,0.43623427962911093,0.32271091315674144,0.011156448679445097,-0.05455657916483758,0.00574281424876899,0.04806826475900272,-0.39085905981251,-0.023026437395710198,-0.06835050037885171,58.85917825073592,58.57068581111395,67.7596183689989,53.91941577433839,1883.40009765625,1960.5167761230468,1846.1186645507812,2139.541365356445,1885.593896484375,1747.8989477539062,65.4190933933127,70.7427623962266,19.45626116537774,70.41939161298755,0.6,0.5166666666666667,0.22363177594546108,0.41381141016095147,0.3353431837592455,0.24311668734652528,0.4594891263310137,0.0
crypto:bitcoin-cash,BCH,crypto,2026-07-26,7.4188690185546875,8.150431060791016,10.777798767089843,6.4666748046875,0.03523733853487935,0.03871203249120576,0.05119121834701664,0.03071470984564445,20298660535.6762,24816450429.31066,17345569752.76297,39758023744.33872,731.0,0.21353173467972345,0.30762799567666804,-1.2838888931570354,-0.2904096160394433,-0.10973203015721311,-0.14157324859111542,-0.6784515457453888,-0.30502317286350755,0.0044080412922566925,0.0044080412922566925,0.10775168929144252,0.10775168929144252,216.33470236755701,290.58636101590855,220.1217110836287,363.4556153168855,212.5808263638889,238.9728363326518,5.23418230210515e-06,-4.52489958990347,0.29688969016111977,13422497416.0,-0.30793868014104364,-0.06853775562296294,-0.48130262551550107,-0.022334532026861198,0.5882434062438392,0.5382224831310557,0.6889161418240645,0.35510297143052266,-0.04996737047925526,-0.5619849462958164,0.0044080412922566925,-0.1292349924377333,-0.5647067207789298,-0.05882289945963626,-0.36949331622974435,20.67802785614269,27.564527693779226,57.61274708009789,40.89745330286792,216.11078338623048,304.22158737182616,226.03169860839844,405.9014054107666,212.5584503173828,215.34972869873047,6.926655140000786,5.399152019490895,6.018240285032193,19.001208902175115,0.35,0.43333333333333335,0.28604404032865627,0.536809971174836,0.32056662614502185,0.2471225255401723,0.6697914464922666,0.0
crypto:solana,SOL,crypto,2026-07-26,2.0592798505510603,2.161819839477539,3.165306625366211,1.8669237409319197,0.027530478162228724,0.028901333573230863,0.042316931767716365,0.02495887252357601,108915369207.37276,129858429325.4705,100696175623.22668,185030820750.756,731.0,0.08787815803420335,0.25811467440368524,-1.0988426362480403,0.18218690823657893,-0.04235898725230525,-0.07252071203402355,-0.49029933896135336,-0.09385276163095646,0.01245385491410822,0.01245385491410822,0.2027695562276739,0.2027695562276739,75.77210073393401,79.92605544871599,76.09580897037284,92.77498859594891,75.1938423475349,76.40599962145143,6.497209861540861e-06,-0.15820848530846376,0.3906214969980553,-127140383444.0,-0.05568085130278022,-0.024141066710731462,-0.1503525138221088,0.011756278625024708,0.5579791922375604,0.4763558311786828,0.5741286294882371,0.33266700205954614,-0.006270190455185287,-0.08797837087413163,0.00499051765767855,-0.0868602578089942,-0.4550715457921861,-0.04235898725230525,-0.09188169306572569,43.482655868923274,35.01719554665891,54.74129596418883,38.73346781993534,75.96028366088868,79.21051177978515,76.65042610168457,88.03651428222656,75.37490997314453,73.93085136413575,25.536850846588568,15.081389588781386,16.38391107627632,61.490947775149216,0.5,0.43333333333333335,0.23904172021817988,0.43174820051510154,0.2895605930970778,0.26557961731324947,0.4829840242163127,0.0
crypto:litecoin,LTC,crypto,2026-07-26,1.3840413774762834,1.2561424255371094,1.5231504821777344,1.1465110778808594,0.029341560975244565,0.026630113934668315,0.03229066231298925,0.024305938570836592,10880421292.478823,10147010300.83247,9406443058.809486,10898673800.794222,731.0,0.12079700275122571,0.15517747765737594,1.1763101423254068,1.6549488791507392,-0.0035404189095471494,-0.0035404189095471494,-0.5068715494896248,-0.09889002847474782,0.08464713336731489,0.08464713336731489,0.15462642605140786,0.15462642605140786,46.49377482572584,48.822837088845326,45.86490470265828,56.29938805466627,46.79269214269097,46.04690828516543,7.869985751255786e-06,0.6818545263010023,0.5050292037158378,13821447579.0,-0.04139682592319727,0.03552368487469426,-0.12700698397335664,0.0642026981796282,0.7286438532891846,0.7778405178463113,0.8431829602972492,0.7239160802876058,0.04956567057509398,-0.12389611394415279,0.014261453751575726,0.052308408207768275,-0.5081104110320334,0.007563572172859967,-0.09153276165229485,70.8317978232344,56.22200071111378,63.57583035784222,52.39892113756356,46.73431053161621,49.20701229095459,45.55182933807373,54.03250347137451,46.80022659301758,44.3242610168457,83.48707904214318,83.48707904214318,13.396391138743805,58.53653218200947,0.5,0.5333333333333333,0.23656349853387124,0.31715531520183937,0.2689928757148199,0.16072009056762232,0.36627007623205593,0.0
crypto:okb,OKB,crypto,2026-07-26,1.7727813720703125,1.7822383880615233,2.611798858642578,1.7785982404436385,0.020984676423247056,0.021096620526243396,0.030916251036197533,0.021053531558197124,1378699193.6974664,1391206317.5559468,1442715185.3496323,2156685611.0352044,731.0,0.06907318605025899,0.1777693607162494,2.3924161255512417,1.7846099143172056,0.0,0.0,-0.28658628985391466,-0.08929911738904939,0.05414146291448696,0.07328963059454074,0.23868414817579153,0.2237041901249064,82.32892420368222,81.88889858301977,81.38374491130865,87.18829150830337,83.07362679960445,80.42126315034122,2.9003678824561045e-07,1.1263302319840705,0.6018111315817579,3123042919.0,0.04182578247587743,0.04131295103746013,-0.01005695371074955,0.07931224089901256,1.045991255452604,1.0015087566239245,1.0378377381057395,0.6304040049883557,0.05315550410274539,0.012670664511631236,0.015606380902345673,0.05586776604171484,-0.2578278394764911,0.02719708297745793,-0.03330477377125207,67.66641663355999,63.547098777679395,64.5165482540302,93.49376250405331,82.08997955322266,81.08822647094726,81.12816123962402,85.3380457687378,82.82659759521485,78.2718862915039,91.58196321789887,94.03993576908293,36.424096615281,64.02023306173295,0.6,0.55,0.1631407150097169,0.34854362740106465,0.16816006891997567,0.12258674728383193,0.40523073252943387,0.0
crypto:bitcoin,BTC,crypto,2026-07-26,1490.5228794642858,1477.275,1883.559765625,1384.1395089285713,0.0231407017184699,0.022935025421038317,0.02924268745267763,0.02148907605120257,1435236225706766.0,1566464586536150.2,1346829636828674.2,1889633682440248.2,731.0,0.06726817472232252,0.11901454228520109,0.13901096034029703,0.61934562923223,-0.03148353463360909,-0.03148353463360909,-0.33548173870879183,-0.12668358928582968,0.034900677609635,0.034900677609635,0.09994131171975207,0.09994131171975207,64648.40170354483,67746.6407446671,64288.9975600024,73468.7204853903,64630.93064768014,64996.313496028095,4.112100054603311e-05,371.6052025027748,0.5280100889702546,-871583267551.0,-0.07521183461801373,0.002337753392122277,-0.10694994939787261,0.018427784144853465,0.4853577509689621,0.44752248837878744,0.47114836999781207,0.38362727351880666,0.00975128315542828,-0.02877556523379121,0.0015470889387545483,0.00650508425827101,-0.3160617224898641,-0.03148353463360909,-0.13361267331377213,52.9552109430706,52.79012929137783,60.771565363505054,46.91761377098729,64908.924609375,69649.79765625,64261.08203125,72125.08251953125,64793.4453125,63245.828125,51.396157773806486,53.875522944670614,16.611996666434898,39.87194637950394,0.45,0.43333333333333335,0.1801481199246193,0.2938399163520438,0.24841291974179008,0.14200416764219032,0.31553431790934533,0.0
stock:AAPL,AAPL,stock,2026-07-24,7.848573957170759,8.485502624511719,7.72740478515625,8.038569859095983,0.02356787645215057,0.025480460346070558,0.02320402690554112,0.02413840046930626,15984123885.702488,18929509480.347584,14512684084.634954,16709385792.04671,500.0,0.20339491381338984,0.17914608921349565,1.1656680530873031,1.9532272582029142,-0.002157371731800861,-0.002157371731800861,-0.002157371731800861,-0.002157371731800861,0.07197574547086671,0.18201178589038025,0.6455182378639928,0.2326312042870322,324.53958625990253,292.3844574854163,317.73740039500115,276.76609204148536,327.68857754612816,305.22637838074695,0.005237737695035211,8.446534355112476,0.7847523712856423,1971075309.0,0.16806986597254459,0.059272738298178584,0.20667963864905392,0.0874782561630627,0.9969635881276845,0.7367299820830645,0.9966374305277265,0.8538676193992204,0.0561333923579852,0.28341288312654855,0.035316748188238156,0.2103216296597814,0.5550782092230493,-0.002157371731800861,0.2301725075741563,67.69819197013604,67.06254696667628,65.46555262340154,58.63039032596984,326.15699768066406,285.10279968261716,314.38549957275393,275.9804494476318,326.97999877929686,306.23140014648436,92.94917305453187,96.75880016408595,98.5242330026062,97.10080684096947,0.65,0.5666666666666667,0.3150710240537188,0.27619116074473715,0.2968769565123889,0.34486172933982034,0.288133326466752,0.0
crypto:chainlink,LINK,crypto,2026-07-26,0.24286729948861258,0.24408493041992188,0.303002233505249,0.2021893092564174,0.028779155795232197,0.028923441956222293,0.035904992161201806,0.023958917661921174,1654190402.0117345,1721410468.821425,1458794876.6519299,2139300476.5302675,731.0,0.1508607037608366,0.19583546704769175,0.6711889312382758,1.2387148011512803,-0.02415889446919206,-0.02415889446919206,-0.42543630712931224,-0.07923278043526016,0.07178974496927837,0.10626154526242937,0.17380232191503797,0.17380232191503797,8.398179296806898,8.591355943142235,8.272264788639289,9.763359221100519,8.429151025834901,8.234057167757541,9.782438158140172e-06,0.14923580324673225,0.5468977147873507,-42948054.0,-0.02642074476531775,0.0253140086307726,-0.08640545354720752,0.06064607290558732,0.6737606540529945,0.6512441201144122,0.713440320397871,0.5188211157316042,0.01284789368049788,0.001286553770535992,0.007893153632600125,0.05281083823960708,-0.3858958593910864,-0.02415889446919206,-0.07549363622629712,61.95231487218875,57.025714662935066,65.14650338268501,54.858863564699995,8.443636035919189,8.66801555633545,8.230649399757386,9.237139344215393,8.446384048461914,7.956471385955811,67.76395734076009,75.03210532430302,17.79244821860031,62.390298351522,0.55,0.48333333333333334,0.20873987180712092,0.4061539279532517,0.3358634098320981,0.18884315769038656,0.4232488118244731,0.0
