timestamp,open,high,low,close,volume
2024-07-26,30.0,40.0,30.0,37.849998474121094,3108.0
2024-07-29,40.25,55.0,36.0,40.95000076293945,8702.0
2024-07-30,39.0,39.650001525878906,37.0,38.900001525878906,886.0
2024-07-31,38.25,38.5,36.75,38.0,794.0
2024-08-01,38.0,38.0,35.0,37.45000076293945,2350.0
2024-08-02,35.0,47.349998474121094,35.0,44.5,16516.0
2024-08-05,42.0,44.0,40.0,44.0,2762.0
2024-08-06,44.0,53.599998474121094,42.25,52.5,3872.0
2024-08-07,50.0,52.0,45.5,48.04999923706055,5266.0
2024-08-08,47.5,51.29999923706055,46.75,46.75,334.0
2024-08-09,45.0,49.5,40.04999923706055,41.0,3876.0
2024-08-12,41.0,42.5,38.5,41.29999923706055,2454.0
2024-08-13,41.0,44.0,38.5,43.349998474121094,2988.0
2024-08-14,45.5,47.20000076293945,41.099998474121094,44.900001525878906,336.0
2024-08-15,45.0,52.5,43.5,48.0,2108.0
2024-08-16,46.54999923706055,54.5,46.0,53.0,2420.0
2024-08-19,53.5,57.0,50.5,55.5,2404.0
2024-08-20,52.5,54.0,48.75,52.0,2562.0
2024-08-21,51.0,54.0,51.0,53.0,108.0
2024-08-22,55.0,59.0,54.0,58.0,3118.0
2024-08-23,56.5,62.0,56.5,57.5,4160.0
2024-08-26,57.5,57.5,54.0,54.5,400.0
2024-08-27,55.0,56.5,53.5,55.25,1474.0
2024-08-28,56.5,60.0,56.0,56.5,1028.0
2024-08-29,55.5,58.5,54.0,55.0,1218.0
2024-08-30,53.5,57.54999923706055,53.5,55.0,1180.0
2024-09-03,55.0,67.0,55.0,65.5,6104.0
2024-09-04,62.5,73.0,62.5,64.0,5656.0
2024-09-05,65.0,70.0,61.0,66.0,3416.0
2024-09-06,66.0,66.0,61.0,64.5,486.0
2024-09-09,63.5,64.55000305175781,60.0,62.5,1580.0
2024-09-10,61.5,64.3499984741211,60.0,60.5,2196.0
2024-09-11,59.0,63.0,59.0,60.0,210.0
2024-09-12,60.0,68.25,60.0,67.5,1990.0
2024-09-13,66.0,75.0,66.0,71.55000305175781,1894.0
2024-09-16,76.0,80.5,74.5,78.0,3358.0
2024-09-17,81.5,85.5,75.0,77.0,7116.0
2024-09-18,77.0,85.5,75.0,78.0,2444.0
2024-09-19,78.0,80.55000305175781,73.0,77.5,2460.0
2024-09-20,75.5,82.0,74.0,77.0,2100.0
2024-09-23,77.0,89.0,75.5,83.0,4104.0
2024-09-24,81.0,87.0,76.5,78.0,2402.0
2024-09-25,75.5,78.5,66.5,71.0,6672.0
2024-09-26,71.5,75.5,70.5,71.5,2296.0
2024-09-27,73.0,81.0,71.5,77.5,4444.0
2024-09-30,78.5,90.0,78.5,85.0,3120.0
2024-10-01,83.0,99.0,83.0,95.5,4300.0
2024-10-02,97.5,109.5,96.0,97.0,4950.0
2024-10-03,94.5,107.0,91.5,93.0,3772.0
2024-10-04,95.6500015258789,100.0,94.5,95.5,1334.0
2024-10-07,98.5,102.5,92.0,96.5,1192.0
2024-10-08,95.0,101.4000015258789,89.0,93.5,2018.0
