timestamp,open,high,low,close,volume
2024-07-26,29.25,29.75,26.25,26.25,32884.0
2024-07-29,26.75,27.25,25.75,26.5,12928.0
2024-07-30,25.75,26.25,23.25,25.0,23492.0
2024-07-31,27.0,28.75,25.5,26.0,97676.0
2024-08-01,26.0,27.5,25.0,25.5,13528.0
2024-08-02,24.75,25.75,22.5,25.25,16448.0
2024-08-05,23.0,24.5,22.5,23.75,7364.0
2024-08-06,23.75,25.25,23.75,25.0,6140.0
2024-08-07,24.5,25.5,24.0,24.75,9872.0
2024-08-08,24.75,24.75,23.25,24.5,5492.0
2024-08-09,24.5,26.25,24.0,24.75,3304.0
2024-08-12,24.25,25.0,24.0,24.25,4656.0
2024-08-13,24.75,24.75,23.5,24.25,8892.0
2024-08-14,23.75,24.25,23.5,24.25,9188.0
2024-08-15,24.25,25.25,23.25,24.25,6760.0
2024-08-16,25.0,25.0,23.5,24.25,3412.0
2024-08-19,24.75,25.25,23.75,24.5,9088.0
2024-08-20,24.75,24.75,24.0,24.5,4256.0
2024-08-21,24.25,24.75,24.25,24.5,4864.0
2024-08-22,24.5,26.25,24.5,25.25,11496.0
2024-08-23,25.0,25.0,23.75,24.25,5136.0
2024-08-26,24.75,26.5,24.25,26.5,11276.0
2024-08-27,26.0,26.0,24.5,24.75,3280.0
2024-08-28,24.5,25.25,24.0,24.0,5180.0
2024-08-29,24.25,25.0,24.0,24.75,3880.0
2024-08-30,24.5,25.0,23.75,24.5,3148.0
2024-09-03,24.75,25.75,24.0,25.0,3912.0
2024-09-04,25.25,26.0,24.25,26.0,9352.0
2024-09-05,25.5,26.0,25.0,25.5,3100.0
2024-09-06,25.25,26.0,24.5,25.0,2996.0
2024-09-09,25.0,25.5,24.0,25.25,3220.0
2024-09-10,25.25,25.75,24.75,25.25,2136.0
2024-09-11,25.5,27.75,25.5,27.5,13768.0
2024-09-12,27.5,27.75,26.5,27.25,4316.0
2024-09-13,27.5,27.5,26.5,27.0,2768.0
2024-09-16,26.5,28.0,26.5,27.25,4984.0
2024-09-17,28.0,28.0,26.5,27.5,5772.0
2024-09-18,27.75,27.75,27.0,27.0,3460.0
2024-09-19,27.5,27.5,26.25,26.25,8808.0
2024-09-20,26.25,27.25,26.0,26.25,3468.0
2024-09-23,26.25,27.25,26.25,26.5,1588.0
2024-09-24,26.25,27.0,26.0,26.25,2136.0
2024-09-25,26.0,26.75,25.5,26.0,2672.0
2024-09-26,26.5,26.5,25.0,25.0,3948.0
2024-09-27,25.25,26.0,24.75,25.25,2336.0
2024-09-30,25.25,25.25,24.25,25.0,3032.0
2024-10-01,25.5,25.5,23.75,24.25,2656.0
2024-10-02,24.5,24.5,23.75,23.75,1452.0
2024-10-03,24.25,24.5,24.0,24.25,1444.0
2024-10-04,24.5,24.5,23.5,24.25,2036.0
2024-10-07,24.0,24.5,24.0,24.0,1848.0
2024-10-08,24.0,24.0,23.5,23.75,2292.0
2024-10-09,23.75,24.0,23.5,23.75,2604.0
2024-10-10,23.5,24.0,23.5,23.75,2256.0
2024-10-11,23.75,24.5,23.75,23.75,1344.0
2024-10-14,24.0,25.0,24.0,24.25,4452.0
2024-10-15,24.0,24.5,23.5,23.75,2928.0
2024-10-16,24.25,25.75,23.75,25.75,5940.0
2024-10-17,26.0,26.0,23.75,24.25,12972.0
2024-10-18,24.5,26.25,24.25,25.25,9644.0
2024-10-21,26.0,27.5,25.75,26.75,11900.0
2024-10-22,26.75,29.5,26.25,29.25,15892.0
2024-10-23,28.75,28.75,26.25,26.75,7348.0
2024-10-24,27.5,28.25,27.0,27.5,5160.0
2024-10-25,27.5,28.25,27.0,27.5,3576.0
2024-10-28,27.25,27.25,25.0,26.0,7312.0
2024-10-29,26.25,26.75,25.25,25.5,3396.0
2024-10-30,25.25,25.5,24.75,25.0,2684.0
2024-10-31,24.5,25.5,24.5,25.0,2244.0
2024-11-01,25.0,25.5,24.5,25.25,1508.0
2024-11-04,25.0,25.5,25.0,25.0,1492.0
2024-11-05,25.25,25.5,24.75,25.25,1164.0
2024-11-06,25.5,26.0,24.25,25.25,5036.0
2024-11-07,25.5,27.25,25.0,26.75,7836.0
2024-11-08,26.5,26.75,25.0,26.0,5848.0
2024-11-11,25.5,25.75,25.25,25.25,2052.0
2024-11-12,25.25,25.75,25.0,25.5,2984.0
2024-11-13,25.5,25.75,24.5,24.75,4332.0
2024-11-14,27.5,32.0,25.0,28.5,75100.0
2024-11-15,28.75,28.75,26.0,26.5,10836.0
2024-11-18,25.75,25.75,25.0,25.25,8316.0
2024-11-19,25.25,25.75,25.0,25.25,6920.0
2024-11-20,25.25,25.5,24.75,25.5,3888.0
2024-11-21,25.25,25.5,25.0,25.5,2324.0
2024-11-22,25.5,25.5,24.75,25.25,5980.0
2024-11-25,25.0,25.5,25.0,25.25,4428.0
