timestamp,open,high,low,close,volume
2024-07-26,172.0,173.5,164.0,172.25,102092.0
2024-07-29,173.0,175.5,169.75,173.25,76020.0
2024-07-30,173.25,190.5,173.25,188.0,171940.0
2024-07-31,187.75,188.125,164.5,172.25,206236.0
2024-08-01,172.25,177.0,160.75,164.25,168440.0
2024-08-02,155.75,159.0,147.25,158.5,223372.0
2024-08-05,148.75,161.5,144.0,161.5,193228.0
2024-08-06,160.25,165.75,151.5,155.5,242068.0
2024-08-07,155.5,157.5,137.875,141.0,233380.0
2024-08-08,142.5,144.5,137.5,140.0,135848.0
2024-08-09,138.5,140.25,132.75,138.0,201816.0
2024-08-12,138.0,139.25,133.0,133.25,107216.0
2024-08-13,134.75,142.25,133.75,139.5,130672.0
2024-08-14,140.5,141.75,125.5,128.25,147460.0
2024-08-15,130.5,131.25,123.0,123.0,178672.0
2024-08-16,122.0,126.0,118.0,121.25,272036.0
2024-08-19,121.25,123.0,118.25,118.25,92144.0
2024-08-20,118.25,120.5,115.5,115.75,98128.0
2024-08-21,116.75,117.75,113.25,114.75,105268.0
2024-08-22,114.75,115.75,109.375,112.0,197696.0
2024-08-23,113.0,119.1500015258789,110.625,112.0,114964.0
2024-08-26,112.0,112.5,109.5,109.5,72820.0
2024-08-27,108.75,109.75,104.375,104.75,87180.0
2024-08-28,105.0,107.625,101.625,104.75,132028.0
2024-08-29,105.75,106.5,102.75,104.0,282468.0
2024-08-30,105.0,105.75,100.75,102.0,125208.0
2024-09-03,99.75,102.75,95.0,96.25,172184.0
2024-09-04,95.75,105.25,93.57499694824219,104.25,186356.0
2024-09-05,105.75,109.5,101.875,102.0,107276.0
2024-09-06,101.5,101.75,88.5,90.25,234992.0
2024-09-09,90.0,92.5,85.25,87.0,177596.0
2024-09-10,86.0,87.0,81.5,84.75,159332.0
2024-09-11,83.75,85.0,79.5,80.25,263248.0
2024-09-12,80.0,85.0,76.75,82.75,171216.0
2024-09-13,84.75,92.75,83.5,88.25,207484.0
2024-09-16,89.75,92.5,81.5,82.0,280332.0
2024-09-17,86.5,92.5,85.5,91.0,175836.0
2024-09-18,90.25,104.5,89.875,99.75,197952.0
2024-09-19,101.75,105.25,96.25,96.75,181856.0
2024-09-20,97.0,98.0,87.0,88.0,211840.0
2024-09-23,89.0,97.0,87.875,96.0,157032.0
2024-09-24,95.5,100.375,94.0,96.5,186128.0
2024-09-25,96.25,97.25,90.75,91.0,125664.0
2024-09-26,92.5,94.5,89.25,93.25,155000.0
2024-09-27,95.75,98.625,92.25,93.5,155956.0
2024-09-30,92.75,100.5,90.75,98.25,358408.0
2024-10-01,99.75,99.75,90.0,91.75,189968.0
2024-10-02,90.5,91.75,76.0,89.5,538788.0
2024-10-03,86.75,88.0,78.0,79.0,161916.0
2024-10-04,81.0,81.25,78.0,80.25,156136.0
2024-10-07,80.0,80.0,74.875,78.75,113904.0
2024-10-08,78.0,81.125,76.625,78.75,86260.0
2024-10-09,78.0,80.42500305175781,76.5,78.0,82176.0
2024-10-10,76.0,84.5,75.0,83.0,232176.0
2024-10-11,82.5,83.5,77.875,80.5,122132.0
2024-10-14,80.25,88.0,79.0,87.5,227172.0
2024-10-15,87.0,90.0,80.0,83.0,175204.0
2024-10-16,83.5,87.125,81.0,81.5,160308.0
2024-10-17,80.75,83.5,78.7750015258789,82.5,144364.0
2024-10-18,83.0,85.0,74.5,74.5,123428.0
2024-10-21,75.0,75.0,69.25,70.25,497556.0
2024-10-22,71.0,71.875,68.25,70.5,97976.0
2024-10-23,70.0,71.5,67.0,67.25,84408.0
2024-10-24,68.0,69.0,66.25,67.25,108276.0
2024-10-25,67.5,69.25,64.5,64.5,57440.0
2024-10-28,66.0,69.75,65.5,67.5,96656.0
2024-10-29,66.0,67.25,62.25,63.0,145124.0
2024-10-30,59.25,62.5,58.875,61.5,150968.0
2024-10-31,61.25,67.0,60.5,63.75,184644.0
2024-11-01,63.75,68.125,63.75,67.5,107780.0
2024-11-04,67.25,68.75,64.25,66.75,139640.0
2024-11-05,66.5,68.75,63.875,68.25,130024.0
2024-11-06,76.25,79.0,71.125,72.0,218568.0
2024-11-07,71.0,72.25,68.25,69.75,172444.0
2024-11-08,46.5,50.5,45.0,46.0,763584.0
2024-11-11,46.5,54.5,46.375,54.0,369660.0
2024-11-12,53.25,55.0,46.5,46.75,268152.0
2024-11-13,46.75,48.75,45.75,47.0,225232.0
2024-11-14,46.0,46.25,42.5,42.75,225796.0
2024-11-15,43.25,43.25,39.375,39.5,141812.0
2024-11-18,39.5,40.125,37.5,39.25,126364.0
2024-11-19,39.0,40.5,38.0,39.75,142188.0
2024-11-20,40.0,44.5,39.25,41.75,123616.0
2024-11-21,41.5,45.5,41.0,44.5,163148.0
2024-11-22,44.5,47.25,42.625,47.25,112080.0
2024-11-25,48.0,57.5,48.0,56.5,280680.0
2024-11-26,54.75,55.25,49.25,51.25,183100.0
2024-11-27,51.75,54.75,51.0,52.75,117360.0
